"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
27,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,72,47,50
27,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,262,213,220
27,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,124,102,111
27,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,56,32,33
28,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,587,223,329
28,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,80,39,64
28,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,256,65,92
28,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,229,172,183
28,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,175,86,127
28,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,177,104,120
28,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,289,244,258
28,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,136,76,104
28,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,146,90,102
28,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,650,539,557
28,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,379,368,375
28,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,289,179,180
29,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1457,622,1088
29,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,229,81,134
29,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,250,78,143
29,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,770,639,685
29,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,227,120,170
29,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,241,207,211
29,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,712,609,634
29,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,185,124,157
29,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,177,146,147
29,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,758,679,693
29,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,214,193,202
29,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,175,119,124
30,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,2336,881,1254
30,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,113,47,86
30,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,1043,367,513
30,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,1060,809,883
30,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,320,246,283
30,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,510,357,373
30,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,536,483,510
30,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,571,383,497
30,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,145,124,130
30,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,600,446,498
