taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
     333,         9.5006,        12.0707,         9.6663,        12.2734,         1.4390,         4.2621,         1.5251,         4.3558,         5.0330,         6.4522
     334,         9.7317,        12.3069,         9.9339,        12.5475,         3.3381,         6.3468,         3.4430,         6.4556,         3.0662,         6.5534
     335,         9.8491,        12.4506,        10.0408,        12.6749,         3.6474,         6.5579,         3.7997,         6.7285,         3.9860,         6.9790
     336,         9.8046,        12.4119,         9.9782,        12.6149,         3.7662,         6.6906,         3.8930,         6.8277,         4.9973,         7.5506
     337,         9.6745,        12.2842,         9.8575,        12.4917,         0.0006,         0.0116,              0,              0,         3.4686,         6.6473
     338,         9.6513,        12.2319,         9.8385,        12.4493,              0,              0,              0,              0,         3.5533,         5.5344
     339,         9.6275,        12.2346,         9.7744,        12.4101,         3.1851,         5.9638,         3.1908,         5.9617,         3.2458,         7.1616
     340,         9.6732,        12.3161,         9.7977,        12.4676,         4.5879,         7.0337,         4.5790,         7.0434,         5.7416,         8.7598
     341,         9.6372,        12.2641,         9.7371,        12.3957,         3.5879,         6.8038,         3.5781,         6.7826,         6.1171,         8.6281
     342,         9.5475,        12.1103,         9.6479,        12.2519,         2.8403,         5.5272,         2.8524,         5.5160,         2.4411,         6.2197
     343,         9.6000,        12.2136,         9.7022,        12.3505,         0.0012,         0.0211,              0,              0,         5.2630,         7.7210
